"stock_id","time_stamp","open","high","low","last","volume"
"0","2019-05-24 09:09:00+00","595.395","595.44","595.395","595.44",0
"0","2019-05-24 09:11:00+00","595.57","595.57","595.57","595.57",0
"0","2019-05-24 09:12:00+00","595.46","595.46","595.456","595.456",0
"0","2019-05-24 09:13:00+00","595.24","595.241","595.24","595.241",0
"0","2019-05-24 09:14:00+00","595.18","595.182","595.18","595.182",0
"0","2019-05-24 09:15:00+00","595.14","595.14","595.137","595.137",0
"0","2019-05-24 09:16:00+00","595.166","595.17","595.166","595.17",0
"0","2019-05-24 09:17:00+00","595.3","595.301","595.3","595.301",0
"0","2019-05-24 09:18:00+00","595.237","595.24","595.237","595.24",0
"0","2019-05-24 09:19:00+00","595.109","595.183","595.109","595.183",0
"0","2019-05-24 09:21:00+00","595.42","595.42","595.418","595.418",0
"0","2019-05-24 09:22:00+00","595.54","595.543","595.54","595.543",0
"0","2019-05-24 09:23:00+00","595.609","595.61","595.609","595.61",0
"0","2019-05-24 09:24:00+00","595.59","595.59","595.588","595.588",0
"0","2019-05-24 09:25:00+00","595.61","595.61","595.609","595.609",0
"0","2019-05-24 09:26:00+00","595.724","595.724","595.72","595.72",0
"0","2019-05-24 09:27:00+00","595.72","595.723","595.72","595.723",0
"0","2019-05-24 09:28:00+00","595.67","595.67","595.667","595.667",0
"0","2019-05-24 09:29:00+00","595.65","595.65","595.647","595.647",0
"0","2019-05-24 09:30:00+00","595.65","595.65","595.648","595.648",0
"0","2019-05-24 09:31:00+00","595.43","595.432","595.43","595.432",0
"0","2019-05-24 09:32:00+00","595.4","595.402","595.4","595.402",0
"0","2019-05-24 09:33:00+00","595.29","595.293","595.29","595.293",0
"0","2019-05-24 09:34:00+00","595.32","595.324","595.32","595.324",0
"0","2019-05-24 09:35:00+00","595.5","595.504","595.5","595.504",0
"0","2019-05-24 09:36:00+00","595.5","595.5","595.497","595.497",0
"0","2019-05-24 09:37:00+00","595.514","595.514","595.51","595.51",0
"0","2019-05-24 09:38:00+00","595.24","595.24","595.239","595.239",0
"0","2019-05-24 09:39:00+00","595.18","595.18","595.177","595.177",0
"0","2019-05-24 09:40:00+00","595.167","595.17","595.167","595.17",0
"0","2019-05-24 09:41:00+00","595.21","595.211","595.21","595.211",0
"0","2019-05-24 09:42:00+00","595.17","595.17","595.17","595.17",0
"0","2019-05-24 09:43:00+00","595.089","595.09","595.089","595.09",0
"0","2019-05-24 09:44:00+00","595.08","595.08","595.08","595.08",0
"0","2019-05-24 09:45:00+00","595.23","595.23","595.229","595.229",0
"0","2019-05-24 09:46:00+00","595.39","595.39","595.389","595.389",0
"0","2019-05-24 09:47:00+00","595.41","595.41","595.407","595.407",0
"0","2019-05-24 09:48:00+00","595.44","595.44","595.437","595.437",0
"0","2019-05-24 09:49:00+00","595.37","595.375","595.37","595.375",0
"0","2019-05-24 09:50:00+00","595.37","595.373","595.37","595.373",0
"0","2019-05-24 09:51:00+00","595.55","595.55","595.545","595.545",0
"0","2019-05-24 09:52:00+00","595.51","595.51","595.507","595.507",0
"0","2019-05-24 09:53:00+00","595.39","595.39","595.388","595.388",0
"0","2019-05-24 09:54:00+00","595.45","595.45","595.446","595.446",0
"0","2019-05-24 09:55:00+00","595.32","595.32","595.316","595.316",0
"0","2019-05-24 09:56:00+00","595.44","595.44","595.439","595.439",0
"0","2019-05-24 09:57:00+00","595.46","595.46","595.456","595.456",0
"0","2019-05-24 09:58:00+00","595.43","595.43","595.429","595.429",0
"0","2019-05-24 09:59:00+00","595.49","595.49","595.487","595.487",0
"0","2019-05-24 10:00:00+00","595.49","595.49","595.49","595.49",0
"0","2019-05-24 10:01:00+00","595.75","595.751","595.75","595.751",0
"0","2019-05-24 10:02:00+00","595.87","595.87","595.87","595.87",0
"0","2019-05-24 10:03:00+00","595.875","595.875","595.87","595.87",0
"0","2019-05-24 10:04:00+00","595.8","595.8","595.798","595.798",0
"0","2019-05-24 10:05:00+00","595.76","595.76","595.756","595.756",0
"0","2019-05-24 10:06:00+00","595.794","595.794","595.79","595.79",0
"0","2019-05-24 10:07:00+00","595.77","595.773","595.77","595.773",0
"0","2019-05-24 10:08:00+00","595.81","595.81","595.807","595.807",0
"0","2019-05-24 10:09:00+00","595.81","595.812","595.81","595.812",0
"0","2019-05-24 10:10:00+00","595.77","595.77","595.77","595.77",0
"0","2019-05-24 10:11:00+00","595.68","595.68","595.676","595.676",0
"0","2019-05-24 10:12:00+00","595.67","595.67","595.666","595.666",0
"0","2019-05-24 10:13:00+00","595.664","595.664","595.66","595.66",0
"0","2019-05-24 10:14:00+00","595.469","595.47","595.469","595.47",0
"0","2019-05-24 10:15:00+00","595.44","595.44","595.438","595.438",0
"0","2019-05-24 10:16:00+00","595.36","595.364","595.36","595.364",0
"0","2019-05-24 10:17:00+00","595.35","595.35","595.35","595.35",0
"0","2019-05-24 10:18:00+00","595.34","595.34","595.339","595.339",0
